,Property,n,Label
204,P3051,12,Kindred Britain ID
205,P642,12,of
206,P9097,12,American Academy in Rome ID
207,P2533,12,WomenWriters ID
208,P1326,12,latest date
209,P1433,11,published in
210,P9918,11,Kallías ID
211,P1017,11,Vatican Library ID (former scheme)
212,P5034,11,National Library of Korea ID
213,P3829,11,Publons author ID
214,P1053,11,ResearcherID
215,P8496,11,Archive Site Trinity College Cambridge ID
216,P140,11,religion
217,P1344,11,participant in
218,P6552,11,Twitter user numeric ID
219,P4619,10,National Library of Brazil ID
220,P1695,10,NLP ID (unique)
221,P856,10,official website
222,P6178,10,Dimensions author ID
223,P2006,10,ZooBank author ID
224,P6792,10,Find NZ Artists ID
225,P8902,10,Archives at Yale names ID
226,P6578,10,MutualArt artist ID
227,P1899,10,LibriVox author ID
228,P2966,10,National Library of Wales Authority ID
229,P651,10,Biografisch Portaal van Nederland ID
230,P1327,10,partner in business or sport
231,P8094,10,GeneaStar person ID
232,P8219,9,ASUT ID
233,P9037,9,BHCL UUID
234,P5019,9,Brockhaus Enzyklopädie online ID
235,P3222,9,NE.se ID
236,P3630,9,Babelio author ID
237,P9984,9,CANTIC ID
238,P2888,9,exact match
239,P1368,9,LNB ID
240,P902,9,HDS ID
241,P8406,9,Grove Art Online ID
242,P4789,9,Who's Who UK ID
243,P835,9,author citation (zoology)
244,P2843,9,Benezit ID
245,P1802,9,EMLO person ID
246,P6815,9,University of Amsterdam Album Academicum ID
247,P4927,8,Invaluable.com person ID
248,P9244,8,Women Australia ID
249,P1273,8,CANTIC ID (old)
250,P3744,8,number of subscribers
251,P123,8,publisher
252,P2268,8,Musée d'Orsay artist ID
253,P7578,8,DUC ID
254,P7793,8,filename in archive
255,P1365,8,replaces
256,P1636,8,date of baptism in early childhood
257,P8153,8,Accademia delle Scienze di Torino ID
258,P2401,8,Six Degrees of Francis Bacon ID
259,P9493,7,artist files at
260,P102,7,member of political party
261,P1707,7,DAAO ID
262,P4200,7,Christie's creator ID
263,P1683,7,quotation
264,P723,7,Digitale Bibliotheek voor de Nederlandse Letteren author ID
265,P3280,7,BAnQ author ID
266,P1599,7,Cambridge Alumni Database ID
267,P1233,7,Internet Speculative Fiction Database author ID
268,P4342,7,Store norske leksikon ID
269,P768,7,electoral district
270,P641,7,sport
271,P2032,7,work period (end)
272,P276,7,location
273,P7848,7,Frick Art Reference Library Artist File ID
274,P2002,7,Twitter username
275,P1296,6,Gran Enciclopèdia Catalana ID
276,P2093,6,author name string
277,P4186,6,Australian Women's Register ID
278,P6745,6,Orlando author ID
279,P1932,6,stated as
280,P9780,6,The Women's Print History Project person ID
281,P7545,6,askArt person ID
282,P2454,6,KNAW past member ID
283,P172,6,ethnic group
284,P2174,6,Museum of Modern Art artist ID
285,P793,6,significant event
286,P6851,6,Biographical Dictionary of Iowa ID
287,P6194,5,Austrian Biographical Encylopedia ID
288,P6656,5,BHCL ID (former scheme)
289,P6224,5,level of description
290,P3965,5,Bridgeman artist ID
291,P3417,5,Quora topic ID
292,P8851,5,CONOR.SR ID
293,P1263,5,NNDB people ID
294,P9058,5,Fichier des personnes décédées ID (matchID)
295,P3154,5,Runeberg author ID
296,P6394,5,ELNET ID
297,P8980,5,KANTO ID
298,P742,5,pseudonym
299,P2389,5,organization directed by the office or position
300,P2753,5,Dictionary of Canadian Biography ID
301,P2180,5,Kansallisbiografia ID
302,P212,5,ISBN-13
303,P4145,4,Athenaeum person ID
304,P3740,4,number of works
305,P1375,4,NSK ID
306,P6735,4,Watercolour World artist ID
307,P155,4,follows
308,P4431,4,Google Doodle
309,P2924,4,Great Russian Encyclopedia Online ID
310,P1430,4,OpenPlaques subject ID
311,P6208,4,award rationale
312,P1013,4,criterion used
313,P1971,4,number of children
314,P6829,4,Dictionary of Irish Biography ID
315,P1710,4,Sächsische Biografie (GND) ID
316,P640,4,Léonore ID
317,P8349,4,Proleksis enciklopedija ID
318,P2639,4,Filmportal ID
319,P7444,4,Rijksmuseum Research Library authority ID
320,P4399,4,Itaú Cultural ID
321,P1473,4,BLPL author ID
322,P4759,4,Luminous-Lint ID
323,P2014,4,Museum of Modern Art work ID
324,P6535,4,BHL part ID
325,P1957,4,Wikisource index page URL
326,P7682,4,National Library of New Zealand ID
327,P433,4,issue
328,P8687,4,social media followers
329,P3794,3,Dictionary of Sydney ID
330,P9160,3,Biographical Dictionary of the Czech Lands ID
331,P4293,3,PM20 folder ID
332,P5592,3,number of works accessible online
333,P8849,3,CONOR.BG ID
334,P4491,3,Isidore scholar ID
335,P4928,3,Ricorso author ID
336,P2963,3,Goodreads author ID
337,P241,3,military branch
338,P156,3,followed by
339,P7666,3,Visuotinė lietuvių enciklopedija ID
340,P5508,3,archINFORM person or group ID
341,P9853,3,Australian Medical Pioneers Index ID
342,P97,3,noble title
343,P5063,3,Interlingual Index ID
344,P7369,3,National Library of Chile ID
345,P2450,3,Encyclopædia Britannica contributor ID
346,P4553,3,RA Collections ID
347,P9738,3,IFPNI author ID
348,P7029,3,National Library of Russia ID
349,P2715,3,elected in
350,P2937,3,parliamentary term
351,P3835,3,Mendeley person ID
352,P1801,3,commemorative plaque image
353,P3005,3,valid in place
354,P4459,3,Spanish Biographical Dictionary ID
355,P8854,3,Salzburgwiki ID
356,P3956,3,National Academy of Medicine (France) member ID
357,P7982,3,Hrvatska enciklopedija ID
358,P3219,3,Encyclopædia Universalis ID
359,P2977,3,LBT person ID
360,P3365,3,Treccani ID
361,P5504,3,RISM ID
362,P8795,3,General Diamond Catalogue ID
363,P3847,3,Open Library subject ID
364,P5380,3,National Academy of Sciences member ID
365,P6015,3,Handbook of Texas ID
366,P3187,3,Marburger Professorenkatalog ID
367,P6241,3,collection creator
368,P611,3,religious order
369,P361,3,part of
370,P1309,3,EGAXA ID
371,P7769,3,Australian National Maritime Museum person ID
372,P6333,3,title of broader work
373,P7691,3,The Oregon Encyclopedia ID
374,P9324,3,BiographySampo person ID
375,P7695,3,e-WV: The West Virginia Encyclopedia ID
376,P781,3,SIKART ID
377,P8116,3,Encyclopedia of Brno History person ID
378,P5597,2,Artcyclopedia artist ID
379,P7842,2,Vienna History Wiki ID
380,P9322,2,SVKKL authority ID
381,P7349,2,Gazetteer for Scotland person ID
382,P5374,2,Académie des sciences d'outre-mer member ID
383,P8547,2,BHF author ID
384,P5715,2,Academia.edu profile URL
385,P8631,2,Canadian Women Artists History Initiative ID
386,P136,2,genre
387,P195,2,collection
388,P549,2,Mathematics Genealogy Project ID
389,P131,2,located in the administrative territorial entity
390,P4766,2,Australian honours ID
391,P2842,2,place of marriage
392,P396,2,SBN author ID
393,P1977,2,Les Archives du Spectacle person ID
394,P5739,2,Pontificia Università della Santa Croce ID
395,P8814,2,WordNet 3.1 Synset ID
396,P3988,2,National Library Board Singapore ID
397,P4808,2,Royal Academy new identifier
398,P345,2,IMDb ID
399,P50,2,author
400,P9299,2,OsobnostiRegionu.cz ID
401,P1564,2,At the Circulating Library ID
402,P7947,2,WeChangEd ID
403,P6868,2,Hoopla artist ID
404,P3023,2,Legacies of British Slave-ownership person ID
405,P2015,2,Hansard (1803–2005) ID
406,P4471,2,Rush Parliamentary Archive ID
407,P3602,2,candidacy in election
408,P1788,2,DVN ID
